ac002d2,ac002d3,ac002d1,mergeid
0.0,0.0,0.0,AT-090159-01
0.0,0.0,0.0,AT-091879-01
0.0,0.0,0.0,AT-091879-02
0.0,0.0,0.0,AT-094321-01
0.0,0.0,0.0,AT-094321-02
0.0,1.0,0.0,AT-094393-01
0.0,0.0,0.0,AT-094577-01
0.0,0.0,0.0,AT-096238-01
0.0,1.0,1.0,AT-096872-01
0.0,0.0,0.0,AT-096872-02
1.0,0.0,0.0,AT-098426-01
0.0,0.0,0.0,AT-099697-01
0.0,0.0,0.0,AT-100064-01
0.0,0.0,0.0,AT-100630-01
0.0,0.0,0.0,AT-102487-01
0.0,0.0,0.0,AT-102593-01
0.0,0.0,0.0,AT-103181-01
0.0,0.0,0.0,AT-104028-01
0.0,0.0,0.0,AT-105295-01
0.0,1.0,0.0,AT-106919-01
0.0,0.0,0.0,AT-107961-01
0.0,0.0,0.0,AT-108550-01
0.0,0.0,0.0,AT-111390-01
0.0,0.0,0.0,AT-111399-01
0.0,0.0,0.0,AT-111950-01
0.0,1.0,0.0,AT-112799-01
0.0,1.0,0.0,AT-114014-01
0.0,0.0,0.0,AT-114636-01
0.0,0.0,0.0,AT-114907-01
0.0,0.0,0.0,AT-114907-02
0.0,0.0,0.0,AT-114986-01
0.0,0.0,0.0,AT-115640-01
0.0,1.0,0.0,AT-115757-01
0.0,0.0,0.0,AT-117118-01
0.0,0.0,0.0,AT-117118-02
0.0,0.0,0.0,AT-117431-01
0.0,0.0,1.0,AT-117922-01
0.0,0.0,1.0,AT-117922-02
0.0,0.0,0.0,AT-119365-01
0.0,0.0,0.0,AT-119365-02
0.0,0.0,0.0,AT-119800-01
0.0,1.0,0.0,AT-119996-01
0.0,0.0,0.0,AT-119996-02
0.0,1.0,0.0,AT-120112-01
0.0,0.0,0.0,AT-121019-01
0.0,0.0,0.0,AT-121027-01
0.0,0.0,0.0,AT-121741-01
0.0,0.0,0.0,AT-121741-02
0.0,0.0,0.0,AT-122067-01
0.0,0.0,0.0,AT-122067-02
0.0,0.0,0.0,AT-123068-01
0.0,0.0,0.0,AT-123264-01
0.0,1.0,0.0,AT-124541-01
0.0,0.0,0.0,AT-124541-02
0.0,0.0,0.0,AT-125481-01
0.0,0.0,0.0,AT-125528-01
0.0,0.0,0.0,AT-127180-01
0.0,1.0,0.0,AT-127478-01
0.0,1.0,0.0,AT-128408-01
0.0,0.0,0.0,AT-131239-01
0.0,0.0,0.0,AT-131730-01
0.0,0.0,0.0,AT-132853-01
0.0,0.0,0.0,AT-133368-01
0.0,0.0,0.0,AT-134911-01
0.0,1.0,0.0,AT-135241-01
0.0,1.0,0.0,AT-135241-02
0.0,0.0,0.0,AT-135381-01
0.0,0.0,0.0,AT-135745-01
0.0,1.0,0.0,AT-137229-01
1.0,0.0,0.0,AT-137590-01
0.0,0.0,0.0,AT-137627-01
0.0,0.0,0.0,AT-137627-02
0.0,0.0,0.0,AT-138884-01
0.0,0.0,0.0,AT-138884-02
0.0,1.0,0.0,AT-141474-01
1.0,0.0,0.0,AT-142054-01
0.0,0.0,0.0,AT-142054-02
0.0,0.0,0.0,AT-143304-01
0.0,0.0,0.0,AT-143304-02
1.0,0.0,0.0,AT-144401-01
0.0,1.0,0.0,AT-144401-02
0.0,0.0,0.0,AT-144828-01
0.0,0.0,0.0,AT-145086-01
0.0,0.0,0.0,AT-145086-02
0.0,0.0,0.0,AT-145773-01
0.0,0.0,0.0,AT-145773-02
0.0,0.0,0.0,AT-146142-01
0.0,0.0,0.0,AT-146630-01
0.0,0.0,1.0,AT-146630-02
0.0,0.0,0.0,AT-147711-01
0.0,0.0,0.0,AT-147825-01
0.0,0.0,0.0,AT-147867-01
0.0,0.0,0.0,AT-148494-01
0.0,0.0,0.0,AT-148850-01
0.0,0.0,0.0,AT-148850-02
0.0,0.0,0.0,AT-150739-01
0.0,0.0,0.0,AT-150739-02
0.0,0.0,0.0,AT-151846-01
1.0,0.0,0.0,AT-151984-01
0.0,0.0,0.0,AT-152510-01
0.0,0.0,1.0,AT-154662-01
1.0,1.0,1.0,AT-154662-02
0.0,0.0,1.0,AT-155307-01
0.0,0.0,0.0,AT-155307-02
0.0,0.0,0.0,AT-155973-01
0.0,0.0,0.0,AT-156142-01
0.0,0.0,0.0,AT-157133-01
0.0,0.0,0.0,AT-157282-01
0.0,0.0,0.0,AT-158345-01
0.0,0.0,0.0,AT-158367-01
0.0,0.0,0.0,AT-159074-01
0.0,0.0,0.0,AT-161009-01
1.0,0.0,0.0,AT-161009-02
0.0,0.0,0.0,AT-161769-01
0.0,0.0,0.0,AT-162607-01
0.0,0.0,0.0,AT-164973-01
0.0,0.0,0.0,AT-168399-01
0.0,0.0,0.0,AT-169782-01
1.0,0.0,0.0,AT-170349-01
0.0,0.0,0.0,AT-172034-01
0.0,0.0,0.0,AT-172034-02
0.0,0.0,0.0,AT-172234-01
0.0,0.0,0.0,AT-172234-02
0.0,0.0,0.0,AT-172765-01
0.0,0.0,0.0,AT-172880-01
0.0,0.0,0.0,AT-172880-02
0.0,0.0,0.0,AT-175046-01
0.0,0.0,0.0,AT-175046-02
0.0,0.0,0.0,AT-175082-01
0.0,0.0,0.0,AT-175082-02
0.0,0.0,1.0,AT-175142-01
0.0,0.0,0.0,AT-175220-01
0.0,0.0,0.0,AT-175220-02
0.0,0.0,0.0,AT-175373-01
0.0,0.0,0.0,AT-175373-02
0.0,0.0,0.0,AT-175498-01
0.0,1.0,1.0,AT-177589-01
0.0,0.0,0.0,AT-178500-01
0.0,0.0,0.0,AT-178967-01
0.0,0.0,0.0,AT-179079-01
0.0,0.0,0.0,AT-179087-01
0.0,0.0,0.0,AT-179409-01
0.0,0.0,0.0,AT-183131-01
0.0,0.0,0.0,AT-183131-02
1.0,0.0,0.0,AT-183320-01
0.0,0.0,0.0,AT-185400-01
0.0,0.0,0.0,AT-185400-02
0.0,0.0,0.0,AT-186695-01
0.0,1.0,0.0,AT-186695-02
0.0,0.0,0.0,AT-187070-01
0.0,0.0,0.0,AT-187699-01
0.0,0.0,0.0,AT-188036-01
0.0,0.0,1.0,AT-188114-01
0.0,0.0,0.0,AT-189695-01
0.0,0.0,0.0,AT-189695-02
0.0,0.0,0.0,AT-190338-01
0.0,0.0,0.0,AT-190903-01
1.0,0.0,0.0,AT-191213-01
0.0,0.0,0.0,AT-191213-02
1.0,1.0,0.0,AT-191213-03
0.0,0.0,0.0,AT-191214-01
0.0,0.0,0.0,AT-192971-01
0.0,0.0,0.0,AT-192971-02
0.0,0.0,0.0,AT-193230-01
0.0,0.0,0.0,AT-195997-01
0.0,1.0,0.0,AT-196118-01
0.0,0.0,0.0,AT-196594-01
1.0,1.0,0.0,AT-196918-01
0.0,0.0,0.0,AT-197031-01
1.0,0.0,0.0,AT-197031-02
0.0,1.0,0.0,AT-197099-01
1.0,1.0,0.0,AT-197284-01
0.0,1.0,0.0,AT-197284-02
0.0,0.0,0.0,AT-197898-01
0.0,1.0,0.0,AT-197898-02
0.0,0.0,0.0,AT-199182-01
0.0,0.0,0.0,AT-199689-01
0.0,0.0,0.0,AT-199699-01
0.0,1.0,0.0,AT-200726-01
0.0,0.0,0.0,AT-201093-01
0.0,0.0,0.0,AT-201093-02
0.0,0.0,0.0,AT-201172-01
0.0,0.0,0.0,AT-201172-02
0.0,1.0,0.0,AT-203304-01
0.0,0.0,0.0,AT-203304-02
0.0,0.0,0.0,AT-204435-01
0.0,0.0,0.0,AT-205044-01
0.0,0.0,0.0,AT-205044-02
0.0,0.0,0.0,AT-206021-01
0.0,1.0,1.0,AT-207272-01
0.0,0.0,0.0,AT-208069-01
0.0,0.0,0.0,AT-208206-01
0.0,0.0,0.0,AT-208206-02
0.0,1.0,0.0,AT-208844-01
0.0,0.0,0.0,AT-209127-01
0.0,0.0,0.0,AT-209127-02
0.0,0.0,0.0,AT-210566-01
0.0,0.0,0.0,AT-210566-02
0.0,0.0,0.0,AT-210709-01
0.0,1.0,0.0,AT-211231-01
1.0,1.0,1.0,AT-211430-01
1.0,0.0,0.0,AT-211430-02
0.0,0.0,0.0,AT-211524-01
0.0,0.0,0.0,AT-211524-02
0.0,0.0,0.0,AT-212070-01
0.0,0.0,0.0,AT-212936-01
1.0,0.0,0.0,AT-214457-01
0.0,1.0,0.0,AT-216308-01
0.0,1.0,0.0,AT-216308-02
0.0,0.0,0.0,AT-216579-01
